Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,94,341705672,3.7358133792877197,0.05580353377761399,0.4364556658649787,0.0,0.0,0.4364556658649787,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,95,1750328427,3.687750816345215,0.07909787034134359,0.5569337148448503,0.0,0.0,0.5569337148448503,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,96,1241646603,3.8451883792877197,0.0812054074544045,0.6328075558731725,0.0,0.0,0.6328075558731725,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,97,354554919,3.778903007507324,0.06947354017414535,0.5956924282614416,0.0,0.0,0.5956924282614416,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,98,1141212080,3.6889374256134033,0.06068788786876084,0.39563687928826513,0.0,0.0,0.39563687928826513,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,99,2056698391,3.7362160682678223,0.05498046222599903,0.5577154967863273,0.0,0.0,0.5577154967863273,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,100,1629361386,3.6889376640319824,0.07446689272904933,0.3959901132890774,0.0,0.0,0.3959901132890774,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,101,1298548678,4.0088722705841064,0.07079583287694835,0.7939840688260444,0.0,0.0,0.7939840688260444,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,102,157333277,3.687530755996704,0.08336626367261837,0.3959063158536755,0.0,0.0,0.3959063158536755,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,103,658548350,3.6743056774139404,0.07176328256438301,0.4763088724367344,0.0,0.0,0.4763088724367344,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,104,784324956,3.640655279159546,0.051508822213816946,0.515219247931761,0.0,0.0,0.515219247931761,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,105,1922562345,3.6520519256591797,0.07269921189916718,0.3955483101673963,0.0,0.0,0.3955483101673963,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,106,1171145861,3.7344014644622803,0.07297018603887569,0.4350091594950888,0.0,0.0,0.4350091594950888,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,107,733904680,3.7935991287231445,0.06839331673309174,0.5565868895364137,0.0,0.0,0.5565868895364137,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,108,1826974045,3.7656564712524414,0.053009588922243,0.6346423496016724,0.0,0.0,0.6346423496016724,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,109,1546115641,3.6882612705230713,0.07614663671702102,0.4766455433267482,0.0,0.0,0.4766455433267482,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,110,1873295335,3.812530755996704,0.060563982115824117,0.554569836042471,0.0,0.0,0.554569836042471,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,111,1826990642,3.7351419925689697,0.05254985549457833,0.5965586430878214,0.0,0.0,0.5965586430878214,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,112,1807427148,3.7656562328338623,0.06797952014020146,0.6763976985542272,0.0,0.0,0.6763976985542272,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,113,1091247438,3.969513177871704,0.0590456983895141,0.8748637786037706,0.0,0.0,0.8748637786037706,21.0,3.0
