ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
146,2085471710,4.1000237464904785,0.06728968450211288,0.6012019954802481,0.13063852617840377,0.9297562736898659,0.8224852595021684,0.4750935549117294,0.0,0.0,0.4750935549117294,11.0,13.0
147,2047687242,4.010969877243042,0.07690077487067085,0.836916561310088,0.15645393405065955,0.939039970061888,0.8077978289480638,0.43418062435289834,0.0,0.0,0.43418062435289834,10.0,14.0
148,728884657,4.025957345962524,0.05272730065402524,0.783609289972661,0.25196628431117224,0.950076782440254,0.7266568602700584,0.5155312482746512,0.0,0.0,0.5155312482746512,12.0,12.0
149,2051654822,3.973022699356079,0.05991019423168262,0.8587898002539095,0.1835375507268585,0.9505179455476604,0.7962286600539913,0.5947207765174567,0.0,0.0,0.5947207765174567,14.0,10.0
150,1940513952,3.960022211074829,0.07809993491006023,0.5803917368071907,0.15840244686828547,0.9467861298165414,0.8078986972583166,0.474411685980014,0.0,0.0,0.474411685980014,11.0,13.0
151,666661951,4.144768476486206,0.066883358791971,0.6944323483069147,0.19483976013624024,0.9489603589551624,0.7958513652012214,0.5938408054204519,0.0,0.0,0.5938408054204519,14.0,10.0
152,926515810,3.9812941551208496,0.06370378182788228,0.804102957422771,0.18112985593729283,0.9520729840390275,0.8062273481159581,0.43633347677855944,0.0,0.0,0.43633347677855944,10.0,14.0
153,513131571,3.982022762298584,0.07491491275448071,0.8533888324739012,0.15385307205600252,0.9567170675130139,0.8334293396938512,0.5960837633583119,0.0,0.0,0.5960837633583119,14.0,10.0
154,1260123634,4.0250232219696045,0.05744088371238916,0.816230413869087,0.17253502052753114,0.9435247541051645,0.7861170148662434,0.5138417842993522,0.0,0.0,0.5138417842993522,12.0,12.0
155,1039646183,3.930671215057373,0.05308123785341553,0.7801913269246913,0.23869866308796578,0.9661269070151269,0.7554859190672757,0.5560036310042831,0.0,0.0,0.5560036310042831,13.0,11.0
156,1906059605,3.9798364639282227,0.062216359231981204,0.7843184776978458,0.22725864285185426,0.9437960123515713,0.7609609939181671,0.5156721394558204,0.0,0.0,0.5156721394558204,12.0,12.0
157,1379981696,3.9830219745635986,0.05621831744148453,0.6273756578267004,0.14499452738004787,0.9595842284622708,0.8352910235540739,0.5548988195898218,0.0,0.0,0.5548988195898218,13.0,11.0
158,1027483631,3.9030237197875977,0.07331130839011632,0.8328650745684282,0.15388698235409065,0.9485515532807968,0.7968518527772891,0.5554319735829992,0.0,0.0,0.5554319735829992,13.0,11.0
159,1650267518,3.971829414367676,0.06421391514638762,0.7582881729152916,0.14396455788495066,0.9652550122919732,0.8348470167054873,0.5558490538040515,0.0,0.0,0.5558490538040515,13.0,11.0
