Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,68,82744573,4.785857439041138,0.08203933232978744,0.7084618477525709,0.17878685226773397,0.9567809826657949,0.795892101435788,0.4257690685948547,0.0,0.0,0.4257690685948547,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,69,1195804508,4.922500371932983,0.08424206140016519,0.7767793197490823,0.2043380599283599,0.951884807039061,0.7750122070827989,0.4252905500499423,0.0,0.0,0.4252905500499423,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,70,1426952711,4.734028100967407,0.09005737796509883,0.6696943701145132,0.25200116520801713,0.9231640886921145,0.7235055833692315,0.28262828439571214,0.0,0.0,0.28262828439571214,9.0,25.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,71,1359219260,4.855418920516968,0.05840208445662058,0.8349828709731858,0.17275574700280183,0.9573101696079913,0.8186420943102561,0.3970768064041546,0.0,0.0,0.3970768064041546,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,72,680813673,4.752917528152466,0.06311149028212829,0.6660013246843092,0.1460450151686865,0.9634299724609755,0.8430233979116625,0.36848036296682957,0.0,0.0,0.36848036296682957,12.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,73,726126643,4.844759702682495,0.07316561439258226,0.7430759489902381,0.1382169977047067,0.9504841957400213,0.8296066489132112,0.4257358243814999,0.0,0.0,0.4257358243814999,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,74,631998362,4.756916284561157,0.08167327177210487,0.8852681453865463,0.20773446571189144,0.9498306350159642,0.7533539998429967,0.28371094212302717,0.0,0.0,0.28371094212302717,9.0,25.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,75,1306200992,4.763671875,0.05113607291758763,0.6305395493543239,0.14822508494036235,0.9446658153107137,0.822852521284184,0.3968949826717929,0.0,0.0,0.3968949826717929,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,76,1934272762,4.655397176742554,0.06552716740015684,0.5518466345413594,0.195733736746516,0.9404742514405467,0.7885134013986888,0.3395863527217108,0.0,0.0,0.3395863527217108,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,77,1139304855,4.679128885269165,0.05231158221245234,0.6073986479522053,0.1553271907241817,0.9242034047798384,0.8066224056958973,0.3392897119355027,0.0,0.0,0.3392897119355027,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,78,293014278,4.807971239089966,0.05790938351589985,0.8355039884455011,0.19310224960122133,0.9559842736181535,0.7824640857319137,0.39719074282815137,0.0,0.0,0.39719074282815137,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,79,1731592534,4.784960508346558,0.05968547415823882,0.7817683540726671,0.19372601324989253,0.9487758061421688,0.7879017967303388,0.2831641789141414,0.0,0.0,0.2831641789141414,9.0,25.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,80,1377426521,4.8460776805877686,0.07058354404123351,0.8851385480048175,0.233629278320723,0.9609460326680217,0.7715051534532924,0.31154927203860916,0.0,0.0,0.31154927203860916,10.0,24.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,81,133355962,4.7572455406188965,0.08250969326963727,0.8183871395171931,0.14055463239698307,0.9567072955622817,0.8442437484828873,0.4259470245757516,0.0,0.0,0.4259470245757516,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,82,1430853872,4.896132946014404,0.06622057133229185,0.800014270848961,0.16915394800182407,0.9412391979932228,0.7968608416680216,0.42387213580227423,0.0,0.0,0.42387213580227423,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,83,659406767,4.911703824996948,0.07993299916816021,0.767866399804378,0.1705815670824585,0.945003391109782,0.8111948388596942,0.4521057030176101,0.0,0.0,0.4521057030176101,15.0,19.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,84,1559380275,4.688838005065918,0.08389327723027623,0.8572482841475224,0.13924711981856766,0.9218328128959982,0.8007819459694043,0.31098249229088964,0.0,0.0,0.31098249229088964,10.0,24.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,85,201255546,4.816011667251587,0.0752188258279914,0.7975820738859406,0.13465863965613328,0.9503309858396516,0.8360091205825866,0.4243722046526463,0.0,0.0,0.4243722046526463,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,86,498351581,4.835698843002319,0.053037019964216656,0.8215923125132313,0.1638771789289455,0.9547183001580929,0.8050441843289727,0.3685395203218067,0.0,0.0,0.3685395203218067,12.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,87,1029523876,4.816186428070068,0.05594599875698847,0.7271485490631561,0.17539964935336455,0.9458950657084971,0.7970137414179389,0.3680811047140099,0.0,0.0,0.3680811047140099,12.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,88,1856718431,4.885622024536133,0.06660404178387185,0.7590791776610426,0.1609415136462294,0.9544253847260151,0.8159893419184936,0.33949784380637194,0.0,0.0,0.33949784380637194,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,89,720082184,4.762203693389893,0.08050961776894462,0.7746421696012351,0.29628246255745544,0.9278836395259317,0.6542208227718953,0.42428874076937023,0.0,0.0,0.42428874076937023,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,90,925242917,4.776656150817871,0.06297953629715836,0.7478634152742957,0.19666510989540098,0.9364592159439742,0.767754403379572,0.3392839636699329,0.0,0.0,0.3392839636699329,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,91,1819113397,4.902159214019775,0.07489951359598956,0.6994128152224904,0.13474570330023852,0.9492144642268568,0.8475626144496095,0.39673906181495716,0.0,0.0,0.39673906181495716,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,92,308232787,4.85663104057312,0.06629691667251028,0.6145140755253794,0.18962874408144512,0.931572952232329,0.7796098496197478,0.33844736443598245,0.0,0.0,0.33844736443598245,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,93,1789003052,5.024238348007202,0.06943316106951958,0.7739036568096681,0.12540851538556205,0.9521149865117201,0.8384407198896936,0.42552024930009075,0.0,0.0,0.42552024930009075,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,94,768887439,4.755662679672241,0.07189754427756449,0.7417648652844692,0.18598625799973273,0.9501165738712692,0.8064016597535062,0.42559432511785683,0.0,0.0,0.42559432511785683,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,95,952469479,4.630244255065918,0.08969965950404976,0.8582961079298023,0.2937971293528243,0.9289917212988479,0.6646513624324291,0.34011375775140246,0.0,0.0,0.34011375775140246,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,96,1025495697,4.830639123916626,0.06546777714849826,0.7135493532568637,0.13118362136258824,0.9550882313029646,0.8411688140355853,0.42509408929319065,0.0,0.0,0.42509408929319065,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,97,1750347194,4.633243083953857,0.07100163611534331,0.7545787310498563,0.2179695604994573,0.9475673465124229,0.7355022724344757,0.3410141934669244,0.0,0.0,0.3410141934669244,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,98,246647841,4.857630968093872,0.053870214446426014,0.6997087580039151,0.14455624260993818,0.9443189221601924,0.8303857719416111,0.3673593714684907,0.0,0.0,0.3673593714684907,12.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,99,947388887,4.802190542221069,0.07985407889964703,0.5489083851074775,0.16422241108140917,0.9408710713824312,0.8031542782724987,0.3113705106833016,0.0,0.0,0.3113705106833016,10.0,24.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,100,491653253,5.055569410324097,0.06583281245708343,0.5715887441558516,0.1426457192465632,0.9448133983380168,0.8434823520773597,0.36741940216316904,0.0,0.0,0.36741940216316904,12.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,101,831233102,5.029345750808716,0.05100740735434509,0.6374571975044899,0.134077743390577,0.9478732235379537,0.8339805966825917,0.33964821588979305,0.0,0.0,0.33964821588979305,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,102,744800806,4.814644813537598,0.08300192654197035,0.7502270331521025,0.167816787099579,0.9571249574095144,0.8063907888826302,0.36793971745130105,0.0,0.0,0.36793971745130105,12.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,103,1934486275,5.0266289710998535,0.07243074889556121,0.7119574769655893,0.15934616189787423,0.9329097766584985,0.7992336602515525,0.42288942063379054,0.0,0.0,0.42288942063379054,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,104,1121720901,4.7526631355285645,0.052596601279842004,0.6843785416948321,0.1588002887172772,0.9375096181406686,0.831714319691786,0.4528716463901068,0.0,0.0,0.4528716463901068,15.0,19.0
