Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,215,1131133644,4.493894100189209,0.08088090372387104,0.7873488553137524,0.297793491383074,0.9554089729542856,0.7055989835844392,0.6348147031233482,0.30794166227350545,0.05211454149906822,0.2747584993507745,15.0,9.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,216,722120110,5.226036548614502,0.07435396917488876,0.6065089675967518,0.13961153727335257,0.9494597092155243,0.8663835948843789,0.35773103494953645,0.1335970980776591,0.014946269885844436,0.20918766698603297,8.0,16.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,217,1620932146,5.365091323852539,0.06765862511845777,0.635323663395563,0.12136324007887361,0.9562734963123697,0.8804606221738918,0.5966538967368386,0.25248942642467914,0.025264652983784233,0.31889981732837525,14.0,10.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,218,81912694,5.244006633758545,0.060631679969726605,0.7349783102848534,0.12803712220678531,0.9628656155896449,0.8726371605826018,0.6345424858418519,0.3046857166424213,0.02516126642807772,0.30469550277135293,15.0,9.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,219,2079495136,5.102749824523926,0.06057826125508298,0.5958683874624403,0.1299550118731054,0.9770644777589568,0.872348015472004,0.6373031458436779,0.2458580814177306,0.027282364886631695,0.3641626995393156,15.0,9.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,220,1641671501,5.264485836029053,0.07056923317542925,0.8348742768325944,0.21291567990496005,0.9557494694250525,0.7896778126483014,0.4756627950034052,0.23795188797087136,0.029775456468261217,0.2079354505642726,11.0,13.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,221,2083328711,6.1117987632751465,0.07015273312648918,0.5594355300815164,0.1531842864292729,0.9758680719440601,0.8483049886459672,0.7545608790924225,0.2671122910488437,0.03656302980720341,0.45088555823637544,18.0,6.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,222,1496746569,4.925848960876465,0.05331954580137349,0.712508971743422,0.13147093085984352,0.9508397930502227,0.8698236991819543,0.47604453977407885,0.2192389805322296,0.019678702572643127,0.23712685666920613,11.0,13.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,223,778945469,4.630277395248413,0.06882022676622784,0.5920615499035577,0.16548987022073597,0.9447340212562177,0.841922133435326,0.47636616657333164,0.18403840440876135,0.024490634720635677,0.26783712744393473,11.0,13.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,224,1511772171,5.9538490772247314,0.06882038503963758,0.7521843043871433,0.1401023651277879,0.9676234559847391,0.8674508208572813,0.5969032826219935,0.2854391454910108,0.028398338081506602,0.2830657990494762,14.0,10.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,225,1435465588,5.928694248199463,0.07773487305537741,0.7547123196747783,0.18277101685232072,0.9740209282832143,0.8281490821266169,0.7537288137839436,0.3562980976020207,0.047271649945336024,0.35015906623658716,18.0,6.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,226,1922496039,5.115871906280518,0.06510662231749961,0.7446003443729863,0.2567008778250206,0.9535128267023706,0.7469183576844973,0.5558671425621875,0.24300080476071567,0.04167810832815562,0.27118822947331617,13.0,11.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,227,1096348100,4.665810823440552,0.09082671339856618,0.5689934397384433,0.10672279723886606,0.9692177026670247,0.9012447647686654,0.7155469946474566,0.2695345994673064,0.027018846802850712,0.41899354837729935,17.0,7.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,228,1866360166,5.959434986114502,0.060218976298377046,0.7780376487723973,0.1369573875416257,0.9689710203687646,0.8665955328277939,0.6749629831432514,0.34698227133897097,0.029718071749926956,0.2982626400543536,16.0,8.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,229,1789740359,5.352406024932861,0.06902687140771069,0.6452681203337604,0.1094151445065154,0.9671312575754023,0.894809226806364,0.6358198902422705,0.2656989969637494,0.023599455681288243,0.34652143759723286,15.0,9.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,230,1646070464,4.72794508934021,0.07090499005827194,0.5631018219156342,0.12598654320911534,0.9648524794685767,0.8757713460624611,0.4763341337738509,0.17240128435925012,0.01889106346764756,0.2850417859469532,11.0,13.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,231,1631514170,4.471362352371216,0.06411273497619442,0.5717992839157588,0.1130511668745482,0.9687187277834381,0.8900643536211463,0.5569565195131454,0.2129341374899837,0.020479378118507877,0.32354300390465385,13.0,11.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,232,1744829950,5.495226860046387,0.08778344168766938,0.6455161818324143,0.1295223051872819,0.9479374106188697,0.8725437502594349,0.5557423869528172,0.23255823664782574,0.023691837685831097,0.2994923126191603,13.0,11.0
